"ID";"Fecha";"Comuna";"Genero.Victima";"Edad";"si.no";"Genero.Agresor";"Comuna.1";"Tipo";"Nombre_Genero_Victima_Texto";"Nombre_Genero_Agresor_Texto";"Nombre_Comuna";"Nombre_Violencia"
66;"17-11-2021 14:25";13126;0;26;0;NA;"Quinta Normal";50;"Hombre";NA;"Quinta Normal";"Falta de politicas o proteccion efectiva frente a la violencia"
67;"18-11-2021 12:20";13106;1;24;1;0;"Estacion Central";23;"Mujer";"Hombre";"Estacion Central";"Comentarios sexuales no deseados"
68;"18-11-2021 12:43";13403;0;24;1;0;"Calera de Tango";35;"Hombre";"Hombre";"Calera de Tango";"Golpes con objetos, punetazos, patadas"
69;"18-11-2021 14:09";13111;0;29;0;NA;"La Granja";50;"Hombre";NA;"La Granja";"Falta de politicas o proteccion efectiva frente a la violencia"
70;"18-11-2021 16:02";13131;1;29;0;NA;"San Ramon";50;"Mujer";NA;"San Ramon";"Falta de politicas o proteccion efectiva frente a la violencia"
71;"19-11-2021 12:47";13111;0;18;0;NA;"La Granja";50;"Hombre";NA;"La Granja";"Falta de politicas o proteccion efectiva frente a la violencia"
72;"19-11-2021 14:37";13501;0;30;1;0;"Melipilla";35;"Hombre";"Hombre";"Melipilla";"Golpes con objetos, punetazos, patadas"
73;"19-11-2021 15:17";13201;1;25;1;0;"Puente Alto";23;"Mujer";"Hombre";"Puente Alto";"Comentarios sexuales no deseados"
74;"22-11-2021 11:46";13116;1;26;1;1;"Lo Espejo";30;"Mujer";"Mujer";"Lo Espejo";"Acoso sexual en el trabajo o espacios educativos"
75;"22-11-2021 13:01";13114;1;21;1;0;"Las Condes";24;"Mujer";"Hombre";"Las Condes";"Miradas o gestos lascivos"
76;"22-11-2021 14:57";13101;1;22;1;0;"Santiago";23;"Mujer";"Hombre";"Santiago";"Comentarios sexuales no deseados"
77;"23-11-2021 13:28";13109;1;29;1;0;"La Cisterna";33;"Mujer";"Hombre";"La Cisterna";"Empujones o sacudidas leves"
78;"23-11-2021 13:35";13121;1;32;1;0;"Pedro Aguirre Cerda";19;"Mujer";"Hombre";"Pedro Aguirre Cerda";"Retencion o robo de bienes personales o dinero"
79;"23-11-2021 13:40";13302;1;29;0;NA;"Lampa";50;"Mujer";NA;"Lampa";"Falta de politicas o proteccion efectiva frente a la violencia"
80;"23-11-2021 13:55";13117;0;21;0;NA;"Lo Prado";50;"Hombre";NA;"Lo Prado";"Falta de politicas o proteccion efectiva frente a la violencia"
81;"23-11-2021 15:21";13120;0;29;0;NA;"Nunoa";50;"Hombre";NA;"Nunoa";"Falta de politicas o proteccion efectiva frente a la violencia"
82;"24-11-2021 13:04";13604;0;19;0;NA;"Padre Hurtado";50;"Hombre";NA;"Padre Hurtado";"Falta de politicas o proteccion efectiva frente a la violencia"
83;"24-11-2021 13:13";13107;0;27;1;0;"Huechuraba";9;"Hombre";"Hombre";"Huechuraba";"Descalificacion constante o humillacion verbal"
84;"24-11-2021 13:20";13117;1;33;1;0;"Lo Prado";42;"Mujer";"Hombre";"Lo Prado";"Persecucion o acoso persistente (stalking)"
85;"24-11-2021 13:49";13604;1;21;1;0;"Padre Hurtado";9;"Mujer";"Hombre";"Padre Hurtado";"Descalificacion constante o humillacion verbal"
86;"24-11-2021 14:11";13112;1;23;1;0;"La Pintana";23;"Mujer";"Hombre";"La Pintana";"Comentarios sexuales no deseados"
87;"24-11-2021 14:50";13103;1;28;1;0;"Cerro Navia";19;"Mujer";"Hombre";"Cerro Navia";"Retencion o robo de bienes personales o dinero"
88;"24-11-2021 15:15";13201;0;34;0;NA;"Puente Alto";47;"Hombre";NA;"Puente Alto";"Trato deshumanizante en servicios publicos o de salud"
89;"25-11-2021 14:32";13118;1;24;1;0;"Macul";23;"Mujer";"Hombre";"Macul";"Comentarios sexuales no deseados"
90;"25-11-2021 14:33";13121;1;31;0;NA;"Pedro Aguirre Cerda";50;"Mujer";NA;"Pedro Aguirre Cerda";"Falta de politicas o proteccion efectiva frente a la violencia"
91;"25-11-2021 14:43";13110;0;25;1;0;"La Florida";23;"Hombre";"Hombre";"La Florida";"Comentarios sexuales no deseados"
92;"26-11-2021 12:56";13201;1;24;1;1;"Puente Alto";35;"Mujer";"Mujer";"Puente Alto";"Golpes con objetos, punetazos, patadas"
93;"26-11-2021 14:09";13110;1;28;0;NA;"La Florida";50;"Mujer";NA;"La Florida";"Falta de politicas o proteccion efectiva frente a la violencia"
94;"26-11-2021 14:10";13110;1;19;1;0;"La Florida";23;"Mujer";"Hombre";"La Florida";"Comentarios sexuales no deseados"
95;"26-11-2021 14:29";13112;0;32;0;NA;"La Pintana";47;"Hombre";NA;"La Pintana";"Trato deshumanizante en servicios publicos o de salud"
96;"29-11-2021 11:08";13124;0;20;0;NA;"Pudahuel";50;"Hombre";NA;"Pudahuel";"Falta de politicas o proteccion efectiva frente a la violencia"
97;"29-11-2021 11:37";13301;1;23;1;1;"Colina";35;"Mujer";"Mujer";"Colina";"Golpes con objetos, punetazos, patadas"
98;"30-11-2021 13:00";13110;1;27;1;0;"La Florida";2;"Mujer";"Hombre";"La Florida";"Chistes, burlas o memes ofensivos sobre genero o identidad"
99;"30-11-2021 13:14";13103;1;31;1;0;"Cerro Navia";19;"Mujer";"Hombre";"Cerro Navia";"Retencion o robo de bienes personales o dinero"
100;"01-12-2021 12:47";13122;1;19;0;NA;"Penalolen";50;"Mujer";NA;"Penalolen";"Falta de politicas o proteccion efectiva frente a la violencia"
101;"01-12-2021 14:08";13123;0;21;1;2;"Providencia";9;"Hombre";"Otro";"Providencia";"Descalificacion constante o humillacion verbal"
102;"01-12-2021 14:58";13108;0;27;0;NA;"Independencia";50;"Hombre";NA;"Independencia";"Falta de politicas o proteccion efectiva frente a la violencia"
103;"01-12-2021 17:34";13401;1;25;1;0;"San Bernardo";23;"Mujer";"Hombre";"San Bernardo";"Comentarios sexuales no deseados"
104;"02-12-2021 11:58";13123;1;32;1;0;"Providencia";14;"Mujer";"Hombre";"Providencia";"Desvalorizacion de logros o capacidades personales"
105;"02-12-2021 14:08";13130;0;20;0;NA;"San Miguel";50;"Hombre";NA;"San Miguel";"Falta de politicas o proteccion efectiva frente a la violencia"
106;"02-12-2021 14:26";13401;0;26;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
107;"02-12-2021 14:41";13120;1;25;1;0;"Nunoa";23;"Mujer";"Hombre";"Nunoa";"Comentarios sexuales no deseados"
108;"05-12-2021 13:14";13101;0;40;0;NA;"Santiago";50;"Hombre";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
109;"06-12-2021 10:40";13107;1;25;1;0;"Huechuraba";23;"Mujer";"Hombre";"Huechuraba";"Comentarios sexuales no deseados"
110;"06-12-2021 13:41";13402;0;31;0;NA;"Buin";50;"Hombre";NA;"Buin";"Falta de politicas o proteccion efectiva frente a la violencia"
111;"06-12-2021 13:42";13102;0;26;0;NA;"Cerrillos";50;"Hombre";NA;"Cerrillos";"Falta de politicas o proteccion efectiva frente a la violencia"
112;"06-12-2021 14:06";13114;1;18;1;0;"Las Condes";23;"Mujer";"Hombre";"Las Condes";"Comentarios sexuales no deseados"
113;"06-12-2021 16:20";13126;0;28;0;NA;"Quinta Normal";50;"Hombre";NA;"Quinta Normal";"Falta de politicas o proteccion efectiva frente a la violencia"
114;"06-12-2021 16:22";13125;1;24;1;0;"Quilicura";23;"Mujer";"Hombre";"Quilicura";"Comentarios sexuales no deseados"
115;"06-12-2021 16:39";13114;1;30;1;0;"Las Condes";24;"Mujer";"Hombre";"Las Condes";"Miradas o gestos lascivos"
116;"07-12-2021 12:22";13123;1;30;1;0;"Providencia";14;"Mujer";"Hombre";"Providencia";"Desvalorizacion de logros o capacidades personales"
117;"07-12-2021 12:28";13115;0;37;1;0;"Lo Barnechea";9;"Hombre";"Hombre";"Lo Barnechea";"Descalificacion constante o humillacion verbal"
118;"07-12-2021 13:03";13104;0;20;0;NA;"Conchali";50;"Hombre";NA;"Conchali";"Falta de politicas o proteccion efectiva frente a la violencia"
119;"07-12-2021 14:04";13120;0;25;0;NA;"Nunoa";50;"Hombre";NA;"Nunoa";"Falta de politicas o proteccion efectiva frente a la violencia"
120;"07-12-2021 14:06";13101;1;29;1;0;"Santiago";9;"Mujer";"Hombre";"Santiago";"Descalificacion constante o humillacion verbal"
121;"07-12-2021 14:41";13401;0;33;1;0;"San Bernardo";35;"Hombre";"Hombre";"San Bernardo";"Golpes con objetos, punetazos, patadas"
122;"08-12-2021 13:08";13101;0;28;0;NA;"Santiago";50;"Hombre";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
123;"08-12-2021 13:25";13127;1;37;1;0;"Recoleta";42;"Mujer";"Hombre";"Recoleta";"Persecucion o acoso persistente (stalking)"
124;"08-12-2021 14:38";13104;1;19;1;0;"Conchali";23;"Mujer";"Hombre";"Conchali";"Comentarios sexuales no deseados"
125;"08-12-2021 15:08";13201;1;36;1;0;"Puente Alto";42;"Mujer";"Hombre";"Puente Alto";"Persecucion o acoso persistente (stalking)"
126;"08-12-2021 15:15";13112;1;25;1;0;"La Pintana";23;"Mujer";"Hombre";"La Pintana";"Comentarios sexuales no deseados"
127;"08-12-2021 15:32";13112;1;28;1;0;"La Pintana";9;"Mujer";"Hombre";"La Pintana";"Descalificacion constante o humillacion verbal"
128;"08-12-2021 15:37";13110;1;19;1;1;"La Florida";27;"Mujer";"Mujer";"La Florida";"Relaciones sexuales sin consentimiento pleno"
129;"10-12-2021 13:27";13503;0;33;1;1;"Curacavi";16;"Hombre";"Mujer";"Curacavi";"Uso de hijos/as u otras personas como chantaje emocional"
130;"10-12-2021 13:33";13108;0;25;0;NA;"Independencia";50;"Hombre";NA;"Independencia";"Falta de politicas o proteccion efectiva frente a la violencia"
131;"13-12-2021 11:21";13201;0;25;0;NA;"Puente Alto";50;"Hombre";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
132;"14-12-2021 10:43";13119;1;27;1;0;"Maipu";9;"Mujer";"Hombre";"Maipu";"Descalificacion constante o humillacion verbal"
133;"14-12-2021 13:15";13501;0;30;1;0;"Melipilla";9;"Hombre";"Hombre";"Melipilla";"Descalificacion constante o humillacion verbal"
134;"14-12-2021 13:45";13110;0;32;1;1;"La Florida";16;"Hombre";"Mujer";"La Florida";"Uso de hijos/as u otras personas como chantaje emocional"
135;"14-12-2021 17:03";13603;1;25;1;0;"Isla de Maipo";23;"Mujer";"Hombre";"Isla de Maipo";"Comentarios sexuales no deseados"
136;"15-12-2021 11:40";13130;0;31;1;0;"San Miguel";35;"Hombre";"Hombre";"San Miguel";"Golpes con objetos, punetazos, patadas"
137;"15-12-2021 13:16";13120;0;22;0;NA;"Nunoa";50;"Hombre";NA;"Nunoa";"Falta de politicas o proteccion efectiva frente a la violencia"
138;"15-12-2021 14:12";13114;0;29;0;NA;"Las Condes";50;"Hombre";NA;"Las Condes";"Falta de politicas o proteccion efectiva frente a la violencia"
139;"15-12-2021 14:12";13116;1;28;1;1;"Lo Espejo";30;"Mujer";"Mujer";"Lo Espejo";"Acoso sexual en el trabajo o espacios educativos"
140;"15-12-2021 14:19";13202;1;26;0;NA;"Pirque";50;"Mujer";NA;"Pirque";"Falta de politicas o proteccion efectiva frente a la violencia"
141;"15-12-2021 15:21";13201;1;24;1;1;"Puente Alto";35;"Mujer";"Mujer";"Puente Alto";"Golpes con objetos, punetazos, patadas"
142;"15-12-2021 15:21";13110;0;31;0;NA;"La Florida";50;"Hombre";NA;"La Florida";"Falta de politicas o proteccion efectiva frente a la violencia"
143;"15-12-2021 15:30";13202;1;35;1;0;"Pirque";9;"Mujer";"Hombre";"Pirque";"Descalificacion constante o humillacion verbal"
144;"16-12-2021 13:10";13112;1;21;0;NA;"La Pintana";50;"Mujer";NA;"La Pintana";"Falta de politicas o proteccion efectiva frente a la violencia"
145;"16-12-2021 14:22";13201;1;29;0;NA;"Puente Alto";50;"Mujer";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
146;"16-12-2021 16:25";13128;1;29;1;0;"Renca";13;"Mujer";"Hombre";"Renca";"Culpar a la victima por el conflicto o por la violencia sufrida"
147;"16-12-2021 16:38";13401;0;29;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
148;"17-12-2021 12:02";13110;1;19;0;NA;"La Florida";50;"Mujer";NA;"La Florida";"Falta de politicas o proteccion efectiva frente a la violencia"
149;"20-12-2021 14:54";13101;1;31;1;1;"Santiago";30;"Mujer";"Mujer";"Santiago";"Acoso sexual en el trabajo o espacios educativos"
150;"20-12-2021 15:09";13201;1;20;0;NA;"Puente Alto";50;"Mujer";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
151;"20-12-2021 15:40";13114;1;26;1;0;"Las Condes";9;"Mujer";"Hombre";"Las Condes";"Descalificacion constante o humillacion verbal"
152;"21-12-2021 11:54";13128;1;29;1;1;"Renca";35;"Mujer";"Mujer";"Renca";"Golpes con objetos, punetazos, patadas"
153;"21-12-2021 13:15";13101;1;27;1;0;"Santiago";14;"Mujer";"Hombre";"Santiago";"Desvalorizacion de logros o capacidades personales"
154;"21-12-2021 14:37";13101;1;33;1;0;"Santiago";9;"Mujer";"Hombre";"Santiago";"Descalificacion constante o humillacion verbal"
155;"21-12-2021 15:30";13106;0;25;1;0;"Estacion Central";23;"Hombre";"Hombre";"Estacion Central";"Comentarios sexuales no deseados"
156;"21-12-2021 16:55";13128;0;32;1;1;"Renca";16;"Hombre";"Mujer";"Renca";"Uso de hijos/as u otras personas como chantaje emocional"
157;"22-12-2021 11:55";13401;1;25;1;0;"San Bernardo";23;"Mujer";"Hombre";"San Bernardo";"Comentarios sexuales no deseados"
158;"22-12-2021 12:03";13118;1;21;1;0;"Macul";10;"Mujer";"Hombre";"Macul";"Manipulacion emocional o gaslighting"
159;"22-12-2021 12:36";13401;0;27;1;0;"San Bernardo";35;"Hombre";"Hombre";"San Bernardo";"Golpes con objetos, punetazos, patadas"
160;"22-12-2021 12:38";13124;0;28;1;0;"Pudahuel";35;"Hombre";"Hombre";"Pudahuel";"Golpes con objetos, punetazos, patadas"
161;"22-12-2021 13:07";13201;0;26;1;0;"Puente Alto";9;"Hombre";"Hombre";"Puente Alto";"Descalificacion constante o humillacion verbal"
162;"22-12-2021 13:10";13201;1;33;1;0;"Puente Alto";42;"Mujer";"Hombre";"Puente Alto";"Persecucion o acoso persistente (stalking)"
163;"22-12-2021 13:20";13101;0;18;0;NA;"Santiago";50;"Hombre";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
164;"22-12-2021 13:39";13201;0;24;0;NA;"Puente Alto";50;"Hombre";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
165;"22-12-2021 13:45";13101;1;30;1;0;"Santiago";14;"Mujer";"Hombre";"Santiago";"Desvalorizacion de logros o capacidades personales"
166;"22-12-2021 14:10";13108;1;38;1;0;"Independencia";4;"Mujer";"Hombre";"Independencia";"Interrupciones o invisibilizacion en espacios publicos o laborales"
167;"22-12-2021 14:50";13114;1;31;1;0;"Las Condes";14;"Mujer";"Hombre";"Las Condes";"Desvalorizacion de logros o capacidades personales"
168;"22-12-2021 15:22";13201;1;19;1;0;"Puente Alto";23;"Mujer";"Hombre";"Puente Alto";"Comentarios sexuales no deseados"
169;"22-12-2021 15:51";13112;0;37;1;0;"La Pintana";36;"Hombre";"Hombre";"La Pintana";"Lesiones fisicas moderadas o graves"
170;"22-12-2021 15:55";13124;1;23;1;0;"Pudahuel";23;"Mujer";"Hombre";"Pudahuel";"Comentarios sexuales no deseados"
171;"22-12-2021 16:33";13604;0;18;0;NA;"Padre Hurtado";50;"Hombre";NA;"Padre Hurtado";"Falta de politicas o proteccion efectiva frente a la violencia"
172;"22-12-2021 18:51";13401;0;36;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
173;"23-12-2021 11:27";13104;0;26;0;NA;"Conchali";50;"Hombre";NA;"Conchali";"Falta de politicas o proteccion efectiva frente a la violencia"
174;"23-12-2021 12:58";13501;0;27;0;NA;"Melipilla";50;"Hombre";NA;"Melipilla";"Falta de politicas o proteccion efectiva frente a la violencia"
175;"23-12-2021 13:03";13601;0;29;0;NA;"Talagante";50;"Hombre";NA;"Talagante";"Falta de politicas o proteccion efectiva frente a la violencia"
176;"23-12-2021 13:05";13201;1;24;1;1;"Puente Alto";35;"Mujer";"Mujer";"Puente Alto";"Golpes con objetos, punetazos, patadas"
177;"23-12-2021 13:36";13115;0;25;0;NA;"Lo Barnechea";50;"Hombre";NA;"Lo Barnechea";"Falta de politicas o proteccion efectiva frente a la violencia"
178;"23-12-2021 14:07";13126;0;24;1;0;"Quinta Normal";23;"Hombre";"Hombre";"Quinta Normal";"Comentarios sexuales no deseados"
179;"23-12-2021 14:29";13123;1;26;1;0;"Providencia";14;"Mujer";"Hombre";"Providencia";"Desvalorizacion de logros o capacidades personales"
180;"23-12-2021 14:58";13120;0;34;1;0;"Nunoa";35;"Hombre";"Hombre";"Nunoa";"Golpes con objetos, punetazos, patadas"
181;"23-12-2021 15:24";13114;1;31;1;1;"Las Condes";25;"Mujer";"Mujer";"Las Condes";"Tocamientos sin consentimiento"
182;"23-12-2021 17:17";13132;0;31;1;0;"Vitacura";35;"Hombre";"Hombre";"Vitacura";"Golpes con objetos, punetazos, patadas"
183;"23-12-2021 17:23";13401;0;31;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
184;"23-12-2021 17:26";13201;1;24;1;1;"Puente Alto";35;"Mujer";"Mujer";"Puente Alto";"Golpes con objetos, punetazos, patadas"
